object,filter,telescope,file,x,y,flux,fwhm_x_pix,fwhm_y_pix,fwhm_avg_pix,fwhm_avg_arcsec
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,975.4381439921258,1189.5274347536076,834188.3227539062,7.667011059339863,7.24522675653646,7.456118907938162,1.7149073488257773
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,2242.9048098463045,1495.178979202113,761452.580078125,5.229734455310007,5.667416605282488,5.448575530296248,1.2531723719681371
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1363.4766810274239,310.30759640302665,223803.81005859375,4.836672884860533,4.42322054134052,4.6299467131005265,1.0648877440131213
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1918.0835010335434,1873.9489063894187,140318.46044921875,5.162467731282415,4.788332147627888,4.975399939455151,1.1443419860746848
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,2267.3658500523484,1607.1521855943533,58560.36608886719,4.747624989825352,5.273323858108034,5.010474423966693,1.1524091175123394
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,635.1748607690283,864.6143340416453,49107.86346435547,5.071833734866636,4.202920145512394,4.637376940189515,1.0665966962435887
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,582.0019092933534,1477.9154378552303,44589.60418701172,4.823813686029171,5.36993549927186,5.096874592650515,1.1722811563096185
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,931.5403156258143,1274.109866267948,39577.679260253906,5.109877200704898,4.632869965153307,4.8713735829291025,1.1204159240736937
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,124.56773778104706,1839.869482839311,11913.924682617188,5.036171267640173,4.5044694346652685,4.770320351152721,1.0971736807651258
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,386.4226076032927,1678.3369973863666,10121.59506225586,4.566035435946105,4.858177169007087,4.712106302476596,1.0837844495696172
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1435.752882963478,2301.960051087281,9405.341598510742,5.311417046048061,4.91260383882695,5.112010442437505,1.1757624017606263
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,2086.4128760705407,971.4418034244729,7883.301498413086,4.6872376291845095,5.157209338248592,4.92222348371655,1.1321114012548066
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,506.2525484793669,1770.1300599289677,6428.127680778503,1.6386634964019906,2.504175559568875,2.071419527985433,0.47642649143664956
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1579.1791554438755,865.3720614526832,6087.999259471893,1.8715655339718646,1.4123556251236051,1.6419605795477348,0.37765093329597904
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1803.930132177189,1430.407912265592,5907.862043499947,1.225329721393766,1.4396925675247567,1.3325111444592612,0.3064775632256301
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1006.7743709875671,127.82004182910734,5848.714401245117,4.491154893792641,4.831118412496328,4.661136653144484,1.0720614302232314
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,2135.773051109223,750.587300464606,5050.69548034668,4.843694767165591,4.678660114958659,4.7611774410621255,1.0950708114442889
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1413.46755580103,714.0948749552881,4982.7907538414,2.020433884442078,1.5182437213044104,1.7693388028732442,0.40694792466084617
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1897.378466131868,574.2306360923711,4303.399475097656,4.306558637181451,4.8195462235822655,4.563052430381858,1.0495020589878274
ASAS14ad,B,dup,ASAS14ad_B_comb_dup.fits,1821.3848208271654,2011.253062756726,3948.1382369995117,4.678148725016167,5.2241459421717735,4.951147333593971,1.1387638867266134
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,2238.369932696293,1494.0925534469686,862488.7138671875,6.75060680587215,6.6658694793794,6.708238142625775,1.5428947728039284
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,1360.3241099925624,309.34062686091585,503139.1044921875,4.310653625577912,3.8484055318280306,4.079529578702972,0.9382918031016836
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,1915.0563233678474,1873.1351363546382,312382.01416015625,4.200743050939638,4.363505324139414,4.282124187539527,0.9848885631340911
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,2264.324153868134,1605.9701495262425,170853.77978515625,4.371904884136783,4.106418270142266,4.239161577139525,0.9750071627420908
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,492.86916065160057,1847.336598415595,120006.38818359375,4.223572350710901,4.498504113153017,4.361038231931959,1.0030387933443505
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,928.774896914451,1272.9761117768087,100332.23828125,4.218083502057414,4.16924689773354,4.193665199895477,0.9645429959759598
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,767.0087182316498,1743.692936128957,98289.96716690063,1.5171196203704167,1.9314218096335452,1.724270715001981,0.39658226445045563
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,2080.914205791764,2067.1069217685226,74571.25085449219,4.2198857996119346,4.417321140122126,4.31860346986703,0.993278798069417
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,383.3411003029969,1677.2489568873125,53897.860900878906,4.071903280937526,4.512149291234821,4.292026286086173,0.9871660457998199
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,1003.757411614893,126.80653518047808,25521.27947998047,3.742606885860712,3.860058606858415,3.801332746359564,0.8743065316626998
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,2083.4261584983956,970.2957348448739,22936.24786376953,4.2483982941665515,4.038328562039163,4.143363428102857,0.9529735884636572
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,1894.262618372041,572.9802566231933,22322.02325439453,3.8138235364230684,4.214231680706641,4.014027608564855,0.9232263499699167
ASAS14ad,V,dup,ASAS14ad_V_comb_dup.fits,2132.80295369652,749.4411399400124,21996.54278564453,4.276689051564204,3.9585266314203618,4.1176078414922825,0.947049803543225
