object,filter,file,x,y,fwhm_avg_pix,fwhm_avg_arcsec
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,3069.0094783786712,653.703763542518,13.816771026120987,3.177857336007828
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,5506.786523711018,4303.767086686621,13.771876671696727,3.1675316344902478
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,3256.6976585935604,3621.19288870954,13.708166099991605,3.1528782029980693
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,3908.849780207856,3172.190950841878,13.600281021973723,3.1280646350539567
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,4144.795085022897,3130.086461581885,13.471438553913924,3.098430867400203
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,4713.774293172398,3362.3372005663537,13.470354316880302,3.09818149288247
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,3470.769732621949,3732.391719584508,13.464431810979146,3.096819316525204
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,3654.273179736374,3099.208915696772,13.43361960148992,3.089732508342681
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,996.7261402122105,1116.255094057266,13.26541830497317,3.0510462101438294
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,4694.821002263695,1895.3815211303893,13.252403970381302,3.0480529131876994
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,884.8460235196196,4330.828422218472,13.252151791892524,3.0479949121352807
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,2055.839238470241,3621.096420981651,13.1697278414595,3.029037403535685
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,191.5017251451501,2763.243519404348,12.913315232856828,2.9700625035570707
ASAS14mw,V,ASAS14mw_V_comb_swo.fits,4000.993117626409,91.73950554292227,12.909679631245725,2.969226315186517
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,123.81428828733031,1877.808413621552,12.703606905964811,2.921829588371907
ASAS14mw,V,ASAS14mw_V_comb_swo.fits,4250.157570656882,5131.720853832886,12.657184874994684,2.911152521248777
ASAS14lq,V,ASAS14lq_V_comb_swo.fits,2697.364855064309,2799.4894635483247,12.36498827613352,2.84394730351071
ASAS14lp,V,ASAS14lp_V_comb_swo.fits,1089.441546371625,1048.891557252404,12.200026883986322,2.806006183316854
ASAS14mw,V,ASAS14mw_V_comb_swo.fits,5358.96133065409,3137.120566448456,11.618288471828883,2.6722063485206435
ASAS14mw,V,ASAS14mw_V_comb_swo.fits,4755.968772236588,2821.563771590282,11.60517663128996,2.6691906251966917
