telescope,filter,n_stars,median,mean,std,p16,p84
dup,B,6570,1.0983678627653037,1.1228708528250133,0.45706256212262325,0.7964128163282184,1.429263528412432
dup,V,6919,1.0675190450470604,1.1261253589875855,0.4517789542424813,0.8163981158032387,1.4209290807272503
swo,V,3571,0.874948135633959,1.0138793041380683,0.45110820162991694,0.6997189768864724,1.3558025754789274
