telescope,filter,n_stars,n_images,median_arcsec,se_median_arcsec,ci95_lo,ci95_hi,p16_arcsec,p84_arcsec,median_pix,sigma_min_p84_arcsec,naive_se_arcsec,se_understated_by
dup,B,6350,273,1.0964113945304057,0.017571229901202627,1.0637760218105499,1.1323228822442712,0.8083881824337812,1.4103132271884984,4.7670060631756765,0.5989048845428707,0.006712523197132991,2.6176788347945728
dup,V,6849,284,1.0634047219783864,0.01529672652203166,1.036820890648563,1.0965866823909713,0.8173258413794918,1.4016648132334304,4.641387152378523,0.5952322412878935,0.006372760045989627,2.400329905981299
swo,V,3428,138,1.5511086201913449,0.0261216463487883,1.4974533720311807,1.6001698089696008,1.2935307110585124,1.9006332297254875,3.7691306713884014,0.8071246181788416,0.009353305999225077,2.7927714918075472
