radius_kpc,n_total,n_valid,median_color,scatter_mad,valid_fraction
1.0,224,195,1.0189091220389856,0.26645326094912913,0.8705357142857143
1.5,224,196,1.0154890825283758,0.289695240997522,0.875
2.0,224,195,1.0154596759520802,0.292862750295896,0.8705357142857143
2.5,224,195,0.9889683054345288,0.2878927434662667,0.8705357142857143
3.0,224,195,0.9889250295296392,0.28165308790280463,0.8705357142857143
3.5,224,197,0.9817665608954892,0.2915647223977859,0.8794642857142857
4.0,224,198,0.9949246721310442,0.29013883413050934,0.8839285714285714
4.5,224,198,0.9898313269941539,0.284236357812424,0.8839285714285714
5.0,224,199,1.0055563911144791,0.2687572105773252,0.8883928571428571
5.5,224,199,1.0005473948387429,0.2704174290440691,0.8883928571428571
6.0,224,199,0.9997946145733,0.2532486118834614,0.8883928571428571
6.5,224,203,1.0123327614102893,0.2477054055231015,0.90625
7.0,224,203,1.006044462414906,0.2566394145186994,0.90625
7.5,224,204,1.0055547654795784,0.2601426020130003,0.9107142857142857
8.0,224,204,1.0050391839765747,0.2742340806721287,0.9107142857142857
8.5,224,204,1.0049324195358602,0.27559883305597216,0.9107142857142857
9.0,224,204,1.0043292033128957,0.2622644306066555,0.9107142857142857
9.5,224,204,1.000421066425428,0.27462097416159204,0.9107142857142857
10.0,224,205,1.0038502445035653,0.28475543739094855,0.9151785714285714
