object,telescope,filter,z,radius_kpc,radius_arcsec,radius_pix,flux_bkgsub,seeing_safe,annulus_inner_kpc,annulus_outer_kpc,annulus_outer_pix,bkg_per_pixel,annulus_n_pix,annulus_frac_on_chip,annulus_frac_expected_pix,annulus_ok,file,plate_scale_used,aperture_frac_on_chip,aperture_n_nonfinite,aperture_ok
ASAS14ad,dup,B,0.0264,1.0,1.8837226985258038,8.190098689242625,2871.7358474553657,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,1.5,2.8255840477887055,12.285148033863937,6984.308072505941,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,2.0,3.7674453970516075,16.38019737848525,12390.426317406716,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,2.5,4.7093067463145095,20.47524672310656,18657.127668908233,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,3.0,5.651168095577411,24.570296067727874,25507.73709510958,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,3.5,6.593029444840312,28.66534541234918,34095.140299986386,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9994371180311507,0,True
ASAS14ad,dup,B,0.0264,4.0,7.534890794103215,32.7603947569705,45959.67880890556,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,4.5,8.476752143366115,36.8554441015918,54891.34994593666,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9989923498620584,0,True
ASAS14ad,dup,B,0.0264,5.0,9.418613492629019,40.95049344621312,62517.64301340677,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9984299333385607,0,True
ASAS14ad,dup,B,0.0264,5.5,10.36047484189192,45.04554279083443,71046.3151098714,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9986495546669514,0,True
ASAS14ad,dup,B,0.0264,6.0,11.302336191154822,49.14059213545575,79522.79311442254,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,6.5,12.244197540417725,53.235641480077064,87754.24064903347,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,7.0,13.186058889680623,57.33069082469836,95030.05079075972,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,7.5,14.12792023894353,61.42574016931969,102042.1054991211,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,8.0,15.06978158820643,65.520789513941,108683.25662606402,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,8.5,16.011642937469333,69.61583885856231,115031.72702726594,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,9.0,16.95350428673223,73.7108882031836,120386.2510635897,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,B,0.0264,9.5,17.895365635995134,77.80593754780493,125038.93939530491,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9995025753785272,0,True
ASAS14ad,dup,B,0.0264,10.0,18.837226985258038,81.90098689242625,128869.78885804789,True,20.0,30.0,245.70296067727875,0.1413605958223343,105382,1.0,1.0001572550863518,True,ASAS14ad_B_comb_dup.fits,0.23,0.9993790112219624,0,True
ASAS14ad,dup,V,0.0264,1.0,1.8837226985258038,8.190098689242625,5849.859357278104,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,1.5,2.8255840477887055,12.285148033863937,14015.167747614772,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,2.0,3.7674453970516075,16.38019737848525,25385.055204728113,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,2.5,4.7093067463145095,20.47524672310656,38477.21428498113,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,3.0,5.651168095577411,24.570296067727874,52665.54366637422,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,3.5,6.593029444840312,28.66534541234918,71246.811204567,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,0.9994371180311507,0,True
ASAS14ad,dup,V,0.0264,4.0,7.534890794103215,32.7603947569705,98978.79855448297,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,1.0,0,True
ASAS14ad,dup,V,0.0264,4.5,8.476752143366115,36.8554441015918,118358.03118464498,True,20.0,30.0,245.70296067727875,0.18703336268663406,105382,1.0,1.0001572550863518,True,ASAS14ad_V_comb_dup.fits,0.23,0.9989923498620584,0,True
