radius_kpc,n_valid,scatter,scatter_ci_lo,scatter_ci_hi,diff_vs_ref,diff_ci_lo,diff_ci_hi,p_value,q_value_bh,sig_uncorrected_95,sig_after_fdr
1.0,186,0.2301734058570802,0.1906400797585425,0.29093346133748743,-0.03860789369488285,-0.07360717048911271,0.01246754980124632,0.15779999999999994,0.6651,False,False
1.5,186,0.25321163660421914,0.1995951620832605,0.30539485015735623,-0.015569662947743923,-0.06294971365651161,0.02289013308159636,0.3528,0.6651,False,False
2.0,200,0.24586736570868375,0.20655682364180494,0.30463938444227456,-0.022913933843279305,-0.05769197762828487,0.017460406993020018,0.30099999999999993,0.6651,False,False
2.5,201,0.274781916066542,0.22927039961962406,0.3075313568003056,0.006000616514578949,-0.038744967841830985,0.03198254865776257,0.8193999999999999,0.9022,False,False
3.0,205,0.27281485520555415,0.22843432054502555,0.3077303796865162,0.004033555653591092,-0.03319843457848195,0.026679103393125136,0.8584,0.9022,False,False
3.5,206,0.26646943233398007,0.2255935115554264,0.3099164665251928,-0.002311867217982988,-0.028768944752449697,0.021711140152157013,0.8398000000000001,0.9022,False,False
4.0,208,0.26878129955196306,0.22490958068086803,0.3167094786432903,0.0,0.0,0.0,1.0,1.0,False,False
4.5,209,0.2673344775198689,0.22455207336370447,0.31190063762905595,-0.001446822032094175,-0.023157518723335747,0.021209607098403273,0.9021999999999999,0.9022,False,False
5.0,209,0.25253788318225306,0.2141952651169167,0.2973510986402973,-0.016243416369709995,-0.043283956745024194,0.009355248556475185,0.1916,0.6651,False,False
5.5,210,0.24353282160254247,0.20526157016302626,0.2871117653346073,-0.02524847794942059,-0.06085453664954818,0.004660499210015754,0.09620000000000006,0.6651,False,False
6.0,210,0.24002978316866094,0.2008741794446773,0.28593641252958946,-0.028751516383302117,-0.06517143885988393,0.0031535504902806617,0.07739999999999991,0.6651,False,False
6.5,212,0.24413183259932714,0.2048625984939874,0.29068729194571613,-0.024649466952635923,-0.061026925554843764,0.00960288301764002,0.16959999999999997,0.6651,False,False
7.0,212,0.25373325301268707,0.21441294366931046,0.29650054585787605,-0.015048046539275994,-0.050786693854432186,0.016951300732170358,0.3540000000000001,0.6651,False,False
7.5,211,0.24818701681698108,0.2118277872096041,0.2915024125132354,-0.020594282734981983,-0.05513155112906289,0.017930762708376947,0.34739999999999993,0.6651,False,False
8.0,210,0.25198757719791964,0.2153805326665282,0.2937830100235115,-0.016793722354043417,-0.05396209002045375,0.0200954128145582,0.3922000000000001,0.6651,False,False
8.5,210,0.2516736877249175,0.21808184764166932,0.2958232084769648,-0.017107611827045566,-0.052466637312499835,0.02115006413148997,0.4434,0.6651,False,False
9.0,209,0.2621503712380272,0.21426871662345098,0.2963473368255828,-0.006630928313935858,-0.05523206283862423,0.023289020139541,0.4192,0.6651,False,False
9.5,209,0.27261740579454974,0.21928158177428317,0.29891025758712925,0.0038361062425866788,-0.04792386648333118,0.029981162053606958,0.6202000000000001,0.8587384615384617,False,False
10.0,210,0.2705419954985647,0.21579655976348172,0.30636214881693274,0.0017606959466016647,-0.04788849914832219,0.033739144620909975,0.683,0.8781428571428572,False,False
