object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
LSQ13dcy,swo,V,LSQ13dcy_V_comb_swo.fits,0.43,0.083,25,1.4807167985813507,0.6288025285439125,0.9816126808763891,1.0
LSQ13dhj,dup,B,LSQ13dhj_B_comb_dup.fits,0.23,0.0935,19,1.2484311208654117,0.5301598835545005,0.9210748833155092,1.0
LSQ13dhj,dup,V,LSQ13dhj_V_comb_dup.fits,0.23,0.0935,25,1.1638064226641043,0.49422308304191814,0.858639973837005,1.0
LSQ13dhj,swo,V,LSQ13dhj_V_comb_swo.fits,0.43,0.0935,25,1.3041363104273935,0.5538156994965844,0.9621733869640754,1.0
LSQ13dkp,dup,B,LSQ13dkp_B_comb_dup.fits,0.23,0.06894,17,1.3008071305282285,0.5524019269638636,0.7280938818932752,1.0
LSQ13dkp,dup,V,LSQ13dkp_V_comb_dup.fits,0.23,0.06894,25,1.0575625659276466,0.44910547120544286,0.591943890758495,1.0
LSQ13dpm,dup,B,LSQ13dpm_B_comb_dup.fits,0.23,0.05086,23,0.8825396170172245,0.374780068175284,0.3722673260474994,1.0
LSQ13dpm,dup,V,LSQ13dpm_V_comb_dup.fits,0.23,0.05086,25,0.7368879520166881,0.3129275010086825,0.31082945423006053,1.0
LSQ13dpm,swo,V,LSQ13dpm_V_comb_swo.fits,0.43,0.05086,25,1.289894231391106,0.5477676453931124,0.5440950945941384,1.0
LSQ13dqh,dup,B,LSQ13dqh_B_comb_dup.fits,0.23,0.1038,23,1.3360187492219582,0.5673549246538705,1.0814112877553765,1.5
LSQ13dqh,dup,V,LSQ13dqh_V_comb_dup.fits,0.23,0.1038,25,1.3508986878731697,0.5736738527955816,1.0934555301194142,1.5
LSQ13pf,swo,V,LSQ13pf_V_comb_swo.fits,0.43,0.085,25,1.2583590726287244,0.5343758964868952,0.852328189619145,1.0
LSQ13ry,swo,V,LSQ13ry_V_comb_swo.fits,0.43,0.03,25,1.3398451543685852,0.5689798493077528,0.34175786085179327,1.0
