radius_kpc,scatter,scatter_lo,scatter_hi,diff_vs_ref_lo,diff_vs_ref_hi,significantly_worse_than_ref
1.0,0.26645326094912913,0.2407047292604711,0.29858296852761496,-0.017625592528789404,0.03182030640630656,False
1.5,0.289695240997522,0.2663080767241866,0.31152001184239747,0.006902348486761838,0.04907626496630641,True
2.0,0.292862750295896,0.2687180331337961,0.32033504594151463,0.011053988961765729,0.05586280147471722,True
2.5,0.2878927434662667,0.2660776136681223,0.3105980962426792,0.007587503236476548,0.046300624657475885,True
3.0,0.28165308790280463,0.25682237261941565,0.29744138641667367,-0.0021129996290353637,0.035575917433301546,False
3.5,0.2915647223977859,0.2612008127029477,0.3044893629209738,0.0056731673186112075,0.03936893416437776,True
4.0,0.29013883413050934,0.2619225151989583,0.31152084716422307,0.007817920437900238,0.04516025428893782,True
4.5,0.284236357812424,0.25275804181737527,0.30513728829628695,0.0015118768614565316,0.033534986296919374,True
5.0,0.2687572105773252,0.24842469112411847,0.29904379800726927,-0.0026042585490505883,0.02895071360549542,False
5.5,0.2704174290440691,0.24343763273850488,0.29386090080173705,-0.009350553213456686,0.021241264133934266,False
6.0,0.2532486118834614,0.2320748041838813,0.2782105225153931,-0.01920294044321263,0.0067737549785485025,False
6.5,0.2477054055231015,0.23997830566118994,0.2808509079619425,0.0,0.0,False
7.0,0.2566394145186994,0.24092284205715114,0.28389259633545255,-0.00860569583926658,0.013322265553899352,False
7.5,0.2601426020130003,0.24395219463786944,0.2809027411794054,-0.009791052541481049,0.01254022073655824,False
8.0,0.2742340806721287,0.24890326595509926,0.2871444054292323,-0.00711160357518324,0.02110773042509429,False
8.5,0.27559883305597216,0.251751802599779,0.2902329103761,-0.004568317320432975,0.02430552953765555,False
9.0,0.2622644306066555,0.24416751485853433,0.29054065203982116,-0.008291193196158465,0.019634576135005338,False
9.5,0.27462097416159204,0.24833358035282518,0.28913507919078024,-0.0059360731544457574,0.02404366286054805,False
10.0,0.28475543739094855,0.25172730263730697,0.296858290603974,-0.0021347913063442074,0.03024135958436086,False
