setting,n_object_images_total,n_dropped_by_annulus_guard,n_rows_dropped_by_aperture_guard,n_in_common_subset,median_bkg_per_pixel,median_flux_at_5kpc,median_aperture_area_px_at_5kpc,n_objects_in_scatter,n_valid_colors_at_5kpc,median_instr_color_at_5kpc,scatter_min,scatter_max,scatter_spread,n_radii_significant,min_p_value
ann10-15,541,2,162,532,1.6254151463508606,69676.57987667983,3425.546768105626,209,202,1.0153862312236743,0.23312982552734088,0.2828456364659647,0.049715810938623844,0,0.1080000000000001
ann15-25,541,4,162,532,0.4021819680929184,73692.04060608216,3425.546768105626,211,208,0.995920175212341,0.23958279841493083,0.27763882086668273,0.03805602245175191,0,0.10759999999999992
ann20-30,541,9,162,532,0.19306472316384315,74672.29332063929,3425.546768105626,212,209,0.9890734727161652,0.23017340585708004,0.274781916066542,0.044608510209461966,0,0.08200000000000007
