telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
swo,V,ASAS14lq_V_comb_swo.fits,18,3.0495495616657644,2.637098110462245,0.9800338759807116,3.177857336007828,0.1171271553429485,False,True,False,True
dup,B,PTF13ebh_B_comb_dup.fits,24,2.5994669491995843,2.40624919817513,0.6459314139249239,2.6348867595562706,0.0205940426261282,False,True,False,True
swo,V,ASAS14mw_V_comb_swo.fits,25,2.517336020941723,2.515075686187728,0.1685953142028814,2.969226315186517,0.1759672564224321,False,True,False,True
swo,V,KISS15n_V_comb_swo.fits,25,2.4365853282799064,2.607779358508262,0.4494555960846805,3.839322517841013,0.0941466001975905,False,True,False,True
swo,V,CSP14acl_V_comb_swo.fits,25,2.2989693359647685,2.192959338309753,0.422171246556124,2.432377301279274,0.0912038443856747,False,True,False,True
dup,B,CSP13aaw_B_comb_dup.fits,25,2.180756302099867,1.64150939931041,0.8370579781339889,2.307188307911041,0.0285257523702391,False,True,False,True
swo,V,CSP12K_V_comb_swo.fits,25,2.0385192908977032,2.521180931626458,0.9772337352239016,5.7179152377032505,0.3099282506503916,False,True,False,True
dup,B,SN2011iv_B_comb_dup.fits,16,1.93551944550566,1.8526507989551244,0.413809098250092,2.126192430088548,0.0393106025350562,False,False,False,False
dup,V,SN2011iv_V_comb_dup.fits,18,1.921584740026492,2.0249909054095405,0.496559427100828,3.762379446299325,0.0197737509040761,False,False,False,False
dup,V,KISS13v_V_comb_dup.fits,25,1.8851984101830213,1.95085493640827,0.2116122966088043,2.7802174508715827,0.0595049567408271,False,False,False,False
dup,V,CSP13aaw_V_comb_dup.fits,25,1.834093650482013,2.041527530574504,0.5017745210906837,3.503671090245901,0.0334573875734033,False,False,False,False
dup,B,SN09dc_B_comb_dup.fits,24,1.819100412696549,1.85868499484712,0.1959773840670859,2.769924269792351,0.031931750452172,False,False,False,False
dup,V,SN09dc_V_comb_dup.fits,25,1.811561774638449,1.9477273446114032,0.3879407649842604,3.200796628574333,0.0461333748810705,False,False,False,False
dup,V,SN2012hl_V_comb_dup.fits,25,1.782040841167414,1.731881529026557,0.2906278498520099,1.8567091496675887,0.0314612573209917,False,False,False,False
swo,V,SN08ha_V_comb_swo.fits,25,1.774026295416801,1.848785477142172,0.314576355385488,3.066260559932861,0.0491093665232578,False,False,False,False
dup,B,SN2012hl_B_comb_dup.fits,15,1.744541331525823,1.748123328249264,0.0512953531809883,1.8425666669210623,0.0647429087836433,False,False,False,False
dup,V,PTF13ebh_V_comb_dup.fits,25,1.7307056694894944,1.7342468519828262,0.0231920435635965,1.816268595829392,0.0132373928302681,False,False,False,False
dup,B,ASAS14lq_B_comb_dup.fits,25,1.7116922316064245,1.4078981494674805,0.656429473524082,2.874676718536041,0.0311952830522718,False,False,False,False
dup,V,LSQ11bk_V_comb_dup.fits,25,1.7044040493194228,1.7078581812547855,0.0208743746431653,1.7392114913162515,0.0185313664866406,False,False,False,False
swo,V,SN07ai_V_comb_swo.fits,25,1.7006214435584943,1.7227542995294454,0.1029540172544511,2.028757304867549,0.1061942500751873,False,False,False,False
swo,V,SN06ev_V_comb_swo.fits,25,1.682950431080504,1.70039587926416,0.0873715074862307,1.8416519219424143,0.0870498966553022,False,False,False,False
swo,V,SN06bt_V_comb_swo.fits,25,1.6748428528282655,1.8045607224391875,0.3833306280624472,3.274396473526032,0.0244007135426773,False,False,False,False
dup,V,SN04ef_V_comb_dup.fits,25,1.6718550768219238,1.7122548545873266,0.2694651698566374,2.557820085814168,0.0312570356663785,False,False,False,False
dup,B,ASAS14me_B_comb_dup.fits,23,1.6695992385467342,1.5073177370199229,0.4535905360476231,1.7719736563301942,0.0203134400265557,False,False,False,False
dup,B,KISS15m_B_comb_dup.fits,21,1.662926673904148,1.4451392554196207,0.8955056998905134,3.1747272584873,0.6791956268280425,True,False,False,True
dup,V,SN08cc_V_comb_dup.fits,25,1.6418110305335307,1.6921338117505165,0.2303398840830891,2.725762220163467,0.0738151814362407,False,False,False,False
dup,B,SN10ae_B_comb_dup.fits,25,1.6415650806735969,1.6741305089342131,0.0778927077471734,1.981301886255688,0.039833936233158,False,False,False,False
dup,V,ASAS14lq_V_comb_dup.fits,25,1.6397127259086135,1.4774557158857633,0.5879769384941936,2.756761972536182,0.0203431373396971,False,False,False,False
dup,B,CSP14aar_B_comb_dup.fits,25,1.632943233614769,1.6455173675712895,0.0645410185883468,1.8312050758432323,0.0163783022013013,False,False,False,False
