radius_kpc,scatter,scatter_lo,scatter_hi
1.0,0.26645326094912913,0.2420716528939657,0.3006955718505909
1.5,0.289695240997522,0.2660425964078016,0.31374561789626787
2.0,0.292862750295896,0.2678382754124217,0.3209267250124062
2.5,0.2878927434662667,0.2638165478688589,0.31224932004138695
3.0,0.28165308790280463,0.2582887168863189,0.2965755998365442
3.5,0.2915647223977859,0.263407388317223,0.30387362353989517
4.0,0.29013883413050934,0.26426859871121655,0.3113618666379949
4.5,0.284236357812424,0.25204215150965975,0.3039125976415483
5.0,0.2687572105773252,0.2461361363476181,0.2942100816735673
5.5,0.2704174290440691,0.24181033868751786,0.2931124065741588
6.0,0.2532486118834614,0.23113258518811047,0.27455832510181394
6.5,0.2477054055231015,0.23751415508138954,0.27899715206716075
7.0,0.2566394145186994,0.23587264870317587,0.285630246775816
7.5,0.2601426020130003,0.23968714572317604,0.28141020633600144
8.0,0.2742340806721287,0.24704519984882026,0.28767859258052925
8.5,0.27559883305597216,0.2493505271564382,0.2903772761909989
9.0,0.2622644306066555,0.24426940497346808,0.29002326210148793
9.5,0.27462097416159204,0.24768258669424356,0.28875515207755365
10.0,0.28475543739094855,0.2517714386148301,0.29747656873804623
