test,observed,null_mean,null_lo95,null_hi95,z,p_value,n_permutations
median_step,0.01970545467200696,0.001909560725500958,-0.009436616117055374,0.013420474823825614,2.947187567098351,0.001799640071985603,5000
offset_slope_rho,0.2779842236310757,-0.0008272341137823532,-0.14215476115749168,0.14426218274642721,3.8056292054639975,0.0004997501249375312,2000
fixed_split_step,0.0016871083423740107,,,,,,0
