object,telescope,filter,file,z,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
SN09ad,dup,V,SN09ad_V_comb_dup.fits,0.028,1.2751298238526831,0.5414977787977527,0.30429741449840825,1.0
SN04ey,dup,V,SN04ey_V_comb_dup.fits,0.016,1.265787652324384,0.5375305238272455,0.17512789075188007,1.0
ASAS14jc,swo,V,ASAS14jc_V_comb_swo.fits,0.011325,1.2613350131189651,0.5356396620542558,0.12422442341243711,1.0
ASAS15be,swo,V,ASAS15be_V_comb_swo.fits,0.0219,1.2593624350332349,0.5348019852687652,0.23679418817372588,1.0
SN07le,dup,B,SN07le_B_comb_dup.fits,0.007,1.2569961031850565,0.5337970966560783,0.07692309025860757,1.0
SN06hb,swo,V,SN06hb_V_comb_swo.fits,0.015,1.254937146187793,0.5329227381242626,0.16297240663495652,1.0
LSQ11ot,dup,B,LSQ11ot_B_comb_dup.fits,0.027,1.2536070409381834,0.5323578944316771,0.2888239002629899,1.0
SN05am,dup,V,SN05am_V_comb_dup.fits,0.008,1.2509774851011963,0.5312412248829633,0.08738461454144873,1.0
SN08go,dup,B,SN08go_B_comb_dup.fits,0.062,1.250758241684469,0.5311481207762652,0.6347500852712173,1.0
SN08gg,dup,B,SN08gg_B_comb_dup.fits,0.032,1.2496661398441604,0.5306843478257108,0.3391914083290994,1.0
LSQ13dhj,dup,B,LSQ13dhj_B_comb_dup.fits,0.0935,1.2484311208654115,0.5301598835545004,0.9210748833155091,1.0
SN08fr,dup,B,SN08fr_B_comb_dup.fits,0.048,1.2472360950223615,0.5296524028042955,0.498202623935399,1.0
SN08bi,dup,B,SN08bi_B_comb_dup.fits,0.013,1.2469087041874165,0.5295133727176288,0.14068009821076727,1.0
LSQ14ahm,dup,B,LSQ14ahm_B_comb_dup.fits,0.04977,1.2468112284634931,0.5294719785889653,0.5153155964789795,1.0
SN05be,dup,B,SN05be_B_comb_dup.fits,0.034,1.242454344957553,0.5276217805175102,0.35745371971512435,1.0
SN05bl,dup,B,SN05bl_B_comb_dup.fits,0.024,1.2413064407685983,0.5271343104913496,0.2551330023408183,1.0
SN08hu,dup,B,SN08hu_B_comb_dup.fits,0.05,1.2397817814851315,0.5264868473076196,0.5146380273395645,1.0
ASAS14my,dup,B,ASAS14my_B_comb_dup.fits,0.020514,1.2366379872457618,0.5251518008160614,0.21817040934624965,1.0
SN2012U,dup,B,SN2012U_B_comb_dup.fits,0.01972,1.2328780698355115,0.5235551109041574,0.2092890835681158,1.0
ASAS15as,dup,B,ASAS15as_B_comb_dup.fits,0.028,1.2315957612932011,0.5230105646043175,0.2939084310147995,1.0
LSQ14wp,dup,V,LSQ14wp_V_comb_dup.fits,0.06945,1.2315147513207827,0.5229761628365096,0.6939943560429431,1.0
CSP12G,dup,V,CSP12G_V_comb_dup.fits,0.03697,1.2312845326535844,0.5228783979700673,0.3838184951710641,1.0
CSP13aao,swo,V,CSP13aao_V_comb_swo.fits,0.0614,1.230721539318742,0.522639316713718,0.6189736959518497,1.0
LSQ15aja,dup,V,LSQ15aja_V_comb_dup.fits,0.07,1.222101789037107,0.5189788458001023,0.6936975127243432,1.0
SN2013hn,dup,B,SN2013hn_B_comb_dup.fits,0.0151,1.2202904475443277,0.5182096398913104,0.15951016027382356,1.0
SN05iq,dup,V,SN05iq_V_comb_dup.fits,0.034,1.2169628461718571,0.5167965376971566,0.3501198236254681,1.0
ASAS14kq,dup,V,ASAS14kq_V_comb_dup.fits,0.0336,1.2167672230529392,0.516713464207388,0.3461108492296886,1.0
ASAS15hg,dup,B,ASAS15hg_B_comb_dup.fits,0.02977,1.2166558511189771,0.5166661689016608,0.30804142681499347,1.0
SN07jg,dup,V,SN07jg_V_comb_dup.fits,0.037,1.214885291502862,0.5159142814613228,0.37900021590593297,1.0
SN05bg,dup,V,SN05bg_V_comb_dup.fits,0.023,1.2139527071095229,0.5155182493333872,0.23940295859060645,1.0
SN05M,dup,B,SN05M_B_comb_dup.fits,0.025,1.2105851311377835,0.514088171489925,0.258874078407863,1.0
SN07ca,dup,V,SN07ca_V_comb_dup.fits,0.014,1.2090865813423284,0.5134517959848763,0.14672800300477262,1.0
SN04ey,dup,B,SN04ey_B_comb_dup.fits,0.016,1.2088812651226777,0.5133646062142253,0.1672546147386055,1.0
SN08C,dup,B,SN08C_B_comb_dup.fits,0.017,1.206385497486219,0.5123047512831764,0.1771264837052275,1.0
SN2012E,dup,B,SN2012E_B_comb_dup.fits,0.02,1.205985224838478,0.5121347711402837,0.2075604360248484,1.0
SN05ag,dup,V,SN05ag_V_comb_dup.fits,0.08,1.2044226744449325,0.5114712170836404,0.772274019565748,1.0
SN05al,dup,V,SN05al_V_comb_dup.fits,0.012,1.2034016466012447,0.5110376264804678,0.12547983700780216,1.0
ASAS15aj,dup,B,ASAS15aj_B_comb_dup.fits,0.01092,1.2013628674967525,0.5101718367107594,0.11414292220231868,1.0
ASAS14hu,dup,V,ASAS14hu_V_comb_dup.fits,0.015,1.195952034650027,0.5078740675635401,0.15531230540029076,1.0
CSP13aam,dup,V,CSP13aam_V_comb_dup.fits,0.07495,1.1943246841370427,0.5071829954298465,0.7216871502681673,1.0
ASAS14lt,dup,B,ASAS14lt_B_comb_dup.fits,0.032046,1.192248232121797,0.5063012074479464,0.32405403457807735,1.0
SN07as,dup,V,SN07as_V_comb_dup.fits,0.018,1.1899846550263362,0.5053399547610425,0.18477222490393047,1.0
SN2012U,dup,V,SN2012U_V_comb_dup.fits,0.01972,1.1888076739024054,0.5048401368975016,0.20180784677512587,1.0
CSP12J,dup,V,CSP12J_V_comb_dup.fits,0.0147,1.1847654604526388,0.5031235668953495,0.15083722858575635,1.0
SN05bg,dup,B,SN05bg_B_comb_dup.fits,0.023,1.1798096553907291,0.5010190302568207,0.2326696257771281,1.0
SN07so,dup,V,SN07so_V_comb_dup.fits,0.03,1.1791933567281083,0.5007573123119946,0.30077998029254416,1.0
ASAS15ga,dup,V,ASAS15ga_V_comb_dup.fits,0.00663,1.1777885589029042,0.5001607496030231,0.06829698450443006,1.0
LSQ14ie,dup,B,LSQ14ie_B_comb_dup.fits,0.08954,1.1763380845090794,0.4995447898413056,0.8349336964323791,1.0
SN08gg,dup,V,SN08gg_V_comb_dup.fits,0.032,1.1737625557246851,0.49845106346937795,0.3185892308563852,1.0
SN09cz,dup,B,SN09cz_B_comb_dup.fits,0.021,1.1737173317239806,0.49843185860453065,0.2118511481988374,1.0
SN07hj,dup,B,SN07hj_B_comb_dup.fits,0.014,1.17317790627268,0.4982027857068207,0.1423703265035023,1.0
SN06bd,dup,V,SN06bd_V_comb_dup.fits,0.026,1.1729975179475278,0.49812618183828616,0.2605558612596941,1.0
LSQ15alq,dup,B,LSQ15alq_B_comb_dup.fits,0.0471,1.1663335539981028,0.4952962569089961,0.4576394822908256,1.0
LSQ13dhj,dup,V,LSQ13dhj_V_comb_dup.fits,0.0935,1.1638064226641045,0.49422308304191825,0.8586399738370053,1.0
SN06dd,swo,V,SN06dd_V_comb_swo.fits,0.006,1.162619430527902,0.49371901389289463,0.06105808804724169,1.0
SN04gu,dup,V,SN04gu_V_comb_dup.fits,0.046,1.1608316558213052,0.49295981587673654,0.44542440236301334,1.0
SN05ag,dup,B,SN05ag_B_comb_dup.fits,0.08,1.1584578177265898,0.49195173965463856,0.7428014221048961,1.0
ASAS15hf,dup,B,ASAS15hf_B_comb_dup.fits,0.00618,1.156557161307466,0.491144605188829,0.06254816768395816,1.0
ASAS15ga,dup,B,ASAS15ga_B_comb_dup.fits,0.00663,1.1564037100616449,0.49107944044465035,0.06705693111887032,1.0
SN08fu,dup,B,SN08fu_B_comb_dup.fits,0.052,1.1540799711513714,0.49009263938731396,0.49704730655088475,1.0
CSP13aao,dup,V,CSP13aao_V_comb_dup.fits,0.0614,1.153446454628614,0.4898236096905037,0.5801093036035063,1.0
PS15sv,dup,B,PS15sv_B_comb_dup.fits,0.0333,1.1530998576241642,0.4896764234946068,0.3251888140373498,1.0
LSQ12bld,dup,B,LSQ12bld_B_comb_dup.fits,0.083,1.153012254799294,0.48963922200014226,0.764367265638665,1.0
SN07bd,dup,B,SN07bd_B_comb_dup.fits,0.031,1.152760596798295,0.4895323526869096,0.3034746353390514,1.0
SN08hj,dup,B,SN08hj_B_comb_dup.fits,0.038,1.1497935955516176,0.4882723832667672,0.36794871809003743,1.0
LSQ14azy,dup,B,LSQ14azy_B_comb_dup.fits,0.0458,1.1459016534043918,0.48661962761121785,0.4378878678033909,1.0
CSP12J,dup,B,CSP12J_B_comb_dup.fits,0.0147,1.1436752479850667,0.48567416028176175,0.14560586931888464,1.0
ASAS15cb,dup,B,ASAS15cb_B_comb_dup.fits,0.04004,1.140539511537487,0.48434253561931817,0.38364649922995364,1.0
SN09I,dup,B,SN09I_B_comb_dup.fits,0.026,1.14012668093029,0.48416722260205886,0.25325432044796264,1.0
LSQ12hzj,dup,B,LSQ12hzj_B_comb_dup.fits,0.029,1.139847311905056,0.4840485855003307,0.28139005247464643,1.0
ASAS15hg,dup,V,ASAS15hg_V_comb_dup.fits,0.02977,1.1392635246144915,0.4838006738640269,0.28844669699961667,1.0
CSP13abm,dup,V,CSP13abm_V_comb_dup.fits,0.02818,1.1380758026567153,0.48329629478831687,0.2732776173551206,1.0
SN08bc,dup,V,SN08bc_V_comb_dup.fits,0.015,1.1368823125873802,0.4827894662211601,0.14764121622020604,1.0
ASAS15gr,dup,V,ASAS15gr_V_comb_dup.fits,0.024,1.13530584240237,0.4821200009733435,0.23334607687030062,1.0
LSQ14bjj,dup,B,LSQ14bjj_B_comb_dup.fits,0.08114,1.1348561213184742,0.48192902201304255,0.7370607015379569,1.0
SN08bi,dup,V,SN08bi_V_comb_dup.fits,0.013,1.1348141498744182,0.4819111983818294,0.12803324374845812,1.0
LSQ15alq,dup,V,LSQ15alq_V_comb_dup.fits,0.0471,1.1313818254856596,0.48045362441731293,0.4439253171733313,1.0
SN08hv,dup,V,SN08hv_V_comb_dup.fits,0.013,1.1302414453557712,0.47996934956484816,0.12751733707573076,1.0
