object,scales_B,scales_V,status
SN05gj,-,0.23,missing one filter
SN05hc,0.23,0.23,consistent
SN05hj,0.23,0.23,consistent
SN05hk,0.23,0.23,consistent
SN05iq,0.23,0.23,consistent
SN05ir,0.23,0.23,consistent
SN05kc,0.23,0.23,consistent
SN05ke,-,0.23,missing one filter
SN05ki,-,0.23,missing one filter
SN05ku,-,0.23,missing one filter
SN05lu,0.23,0.23,consistent
SN05mc,-,0.23,missing one filter
SN05na,-,0.23,missing one filter
SN06D,0.23,0.23,consistent
SN06ax,0.23,0.23,consistent
SN06bd,0.23,0.23,consistent
SN06bh,-,0.23,missing one filter
SN06br,0.23,-,missing one filter
SN06bt,-,0.23,missing one filter
SN06dd,-,0.23,missing one filter
SN06ef,0.23,0.23,consistent
SN06ej,0.23,0.23,consistent
SN06eq,-,0.23,missing one filter
SN06et,0.23,0.23,consistent
SN06ev,-,0.23,missing one filter
SN06fw,0.23,0.23,consistent
SN06gj,-,0.23,missing one filter
SN06gt,-,0.23,missing one filter
SN06hb,-,0.23,missing one filter
SN06hx,0.23,0.23,consistent
SN06is,-,0.23,missing one filter
SN06kf,0.23,0.23,consistent
SN06lu,0.23,0.23,consistent
SN06ob,-,0.23,missing one filter
SN06os,0.23,0.23,consistent
SN06ot,0.23,0.23,consistent
SN06py,-,0.23,missing one filter
SN07N,0.23,0.23,consistent
SN07S,0.23,0.23,consistent
SN07af,0.23,0.23,consistent
SN07ai,-,0.23,missing one filter
SN07al,0.23,0.23,consistent
SN07as,0.23,0.23,consistent
SN07ax,-,0.23,missing one filter
SN07ba,0.23,0.23,consistent
SN07bc,0.23,0.23,consistent
SN07bd,0.23,0.23,consistent
SN07bm,0.23,0.23,consistent
SN07ca,0.23,0.23,consistent
SN07cg,0.23,0.23,consistent
SN07hj,0.23,0.23,consistent
SN07hx,0.23,0.23,consistent
SN07jd,0.23,0.23,consistent
SN07jg,0.23,0.23,consistent
SN07jh,0.23,0.23,consistent
SN07le,0.23,0.23,consistent
SN07nq,0.23,0.23,consistent
SN07ol,0.23,0.23,consistent
SN07on,0.23,0.23,consistent
SN07so,0.23,0.23,consistent
SN07st,0.23,0.23,consistent
SN07ux,0.23,0.23,consistent
SN08C,0.23,0.23,consistent
SN08J,0.23,0.23,consistent
SN08O,0.23,0.23,consistent
SN08R,0.23,0.23,consistent
SN08ae,0.23,0.23,consistent
SN08ar,0.23,0.23,consistent
SN08bc,0.23,0.23,consistent
SN08bd,0.23,0.23,consistent
SN08bi,0.23,0.23,consistent
SN08bq,0.23,0.23,consistent
SN08bt,0.23,0.23,consistent
SN08bz,0.23,0.23,consistent
SN08cc,0.23,0.23,consistent
SN08cd,0.23,0.23,consistent
SN08cf,0.23,0.23,consistent
SN08fl,0.23,0.23,consistent
SN08fp,0.23,0.23,consistent
SN08fr,0.23,0.23,consistent
SN08fu,0.23,0.23,consistent
SN08fw,0.23,0.23,consistent
SN08gg,0.23,0.23,consistent
SN08gl,0.23,0.23,consistent
SN08go,0.23,0.23,consistent
SN08gp,0.23,0.23,consistent
SN08ha,-,0.23,missing one filter
SN08hj,0.23,0.23,consistent
SN08hu,0.23,0.23,consistent
SN08hv,-,0.23,missing one filter
SN08ia,0.23,0.23,consistent
SN09D,0.23,0.23,consistent
SN09F,0.23,0.23,consistent
SN09I,0.23,0.23,consistent
SN09J,0.23,0.23,consistent
SN09P,0.23,0.23,consistent
SN09Y,0.23,0.23,consistent
SN09aa,-,0.23,missing one filter
SN09ab,0.23,0.23,consistent
SN09ad,0.23,0.23,consistent
SN09ag,0.23,0.23,consistent
SN09al,0.23,0.23,consistent
SN09cz,0.23,0.23,consistent
SN09dc,0.23,0.23,consistent
SN09ds,0.23,0.23,consistent
SN09le,0.23,0.23,consistent
SN10ae,0.23,0.23,consistent
SN2011im,-,0.43,missing one filter
SN2011iv,0.23,"0.23,0.43",MISMATCH
SN2011iy,0.23,"0.23,0.43",MISMATCH
SN2011jh,0.23,"0.23,0.43",MISMATCH
SN2011jn,0.23,0.23,consistent
SN2011jt,0.23,"0.23,0.43",MISMATCH
SN2012E,0.23,"0.23,0.43",MISMATCH
SN2012G,0.23,0.23,consistent
SN2012U,0.23,"0.23,0.43",MISMATCH
SN2012aq,0.23,0.23,consistent
SN2012ar,0.23,"0.23,0.43",MISMATCH
SN2012bl,0.23,"0.23,0.43",MISMATCH
SN2012bo,0.23,"0.23,0.43",MISMATCH
SN2012fr,0.23,"0.23,0.43",MISMATCH
SN2012gm,0.23,0.23,consistent
SN2012hl,0.23,0.23,consistent
SN2012id,0.23,0.23,consistent
SN2012ij,0.23,0.23,consistent
SN2013fy,0.23,"0.23,0.43",MISMATCH
SN2013hn,0.23,0.23,consistent
