object,ned_resolved_name,z,ra_deg,dec_deg,ned_type,n_galaxies_nearby,nearest_galaxy,offset_arcsec,offset_kpc,verdict,error
LSQ13ry,LSQ13ry,0.03,158.2,4.19771,SN,9,,7.067721811033289,4.245228526410991,SN_POSITION,
LSQ13vy,LSQ13vy,0.032,241.732,3.001,SN,1,,1.2254144595985348,0.7832340600227737,SN_POSITION,
LSQ14act,LSQ14act,0.0591,239.93604,-10.44467,SN,2,,5.429661507933443,6.206364643672926,SN_POSITION,
LSQ14age,LSQ14age,0.08054,201.03583,-13.44053,SN,0,,,,SN_POSITION,
LSQ14ahc,LSQ14ahc,0.05086,205.95067,-32.91019,SN,1,,8.162156834583238,8.107433019008687,SN_POSITION,
LSQ14ahm,LSQ14ahm,0.04977,175.34354,-12.39931,SN,1,,48.48202458959611,47.1857707871095,SN_POSITION,
LSQ14ajn,LSQ14ajn,0.02101,178.877,11.924,SN,9,,1.1004836820385442,0.46796152693672954,SN_POSITION,
LSQ14asu,LSQ14asu,0.0684,167.89975,-21.46658,SN,1,,6.0991964995390635,7.981124815932261,SN_POSITION,
LSQ14auy,LSQ14auy,0.0825,217.04704,-4.05483,SN,1,,7.792641307576803,12.098688651977291,SN_POSITION,
LSQ14azy,LSQ14azy,0.0458,168.14467,12.07356,SN,3,,4.956079876371453,4.459761026042016,SN_POSITION,
LSQ14ba,LSQ14ba,0.07755,165.34592,-15.61953,SN,0,,,,SN_POSITION,
LSQ14bbv,LSQ14bbv,0.0588,149.888,-56.99107,SN,0,,,,SN_POSITION,
LSQ14bjj,LSQ14bjj,0.08114,215.2045,-5.25058,SN,2,,1.1108293758725214,1.6988988869141264,SN_POSITION,
LSQ14fms,LSQ14fms,0.078,3.74929,-51.211,SN,1,,5.273169566575432,7.7810187798147705,SN_POSITION,
LSQ14foj,LSQ14foj,0.04607,6.64442,-32.80917,SN,1,,6.549913614775571,5.926828194426727,SN_POSITION,
LSQ14fom,LSQ14fom,0.05626,329.95717,-30.27097,SN,3,,4.394750349943368,4.798048598484262,SN_POSITION,
LSQ14gfb,LSQ14gfb,0.0527,77.524,-36.31208,SN,2,,5.673547968005527,5.82669135195514,SN_POSITION,
