file,object,filter,telescope,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\CSP13abl_B_comb_dup.fits,CSP13abl,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13abl_V_comb_dup.fits,CSP13abl,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13abl_V_comb_swo.fits,CSP13abl,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13abm_V_comb_dup.fits,CSP13abm,V,duPont,0.02818,CSP13abm,
D:\Thesis\pd\CSPAll\CSP13abs_B_comb_dup.fits,CSP13abs,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13abs_V_comb_dup.fits,CSP13abs,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13ag_B_comb_dup.fits,CSP13ag,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13ag_V_comb_dup.fits,CSP13ag,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13al_V_comb_dup.fits,CSP13al,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13al_V_comb_swo.fits,CSP13al,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13am_B_comb_dup.fits,CSP13am,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13am_V_comb_dup.fits,CSP13am,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13an_B_comb_dup.fits,CSP13an,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13an_V_comb_dup.fits,CSP13an,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13an_V_comb_swo.fits,CSP13an,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13ay_V_comb_swo.fits,CSP13ay,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13B_B_comb_dup.fits,CSP13B,B,duPont,,,"CSP13B: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13B_V_comb_dup.fits,CSP13B,V,duPont,,,"CSP13B: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13B_V_comb_swo.fits,CSP13B,V,Swope,,,"CSP13B: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13bf_B_comb_dup.fits,CSP13bf,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13bf_V_comb_dup.fits,CSP13bf,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13bf_V_comb_swo.fits,CSP13bf,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13bh_B_comb_dup.fits,CSP13bh,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13bh_V_comb_dup.fits,CSP13bh,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13bh_V_comb_swo.fits,CSP13bh,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13C_V_comb_swo.fits,CSP13C,V,Swope,,,"CSP13C: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13G_V_comb_swo.fits,CSP13G,V,Swope,,,"CSP13G: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13M_B_comb_dup.fits,CSP13M,B,duPont,,,"CSP13M: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13M_V_comb_dup.fits,CSP13M,V,duPont,,,"CSP13M: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13N_B_comb_dup.fits,CSP13N,B,duPont,,,"CSP13N: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13N_V_comb_dup.fits,CSP13N,V,duPont,,,"CSP13N: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13P_B_comb_dup.fits,CSP13P,B,duPont,,,"CSP13P: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13P_V_comb_dup.fits,CSP13P,V,duPont,,,"CSP13P: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13P_V_comb_swo.fits,CSP13P,V,Swope,,,"CSP13P: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13Q_B_comb_dup.fits,CSP13Q,B,duPont,,,"CSP13Q: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13Q_V_comb_dup.fits,CSP13Q,V,duPont,,,"CSP13Q: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13Q_V_comb_swo.fits,CSP13Q,V,Swope,,,"CSP13Q: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13U_B_comb_dup.fits,CSP13U,B,duPont,,,"CSP13U: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13U_V_comb_dup.fits,CSP13U,V,duPont,,,"CSP13U: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13U_V_comb_swo.fits,CSP13U,V,Swope,,,"CSP13U: The remote service returned the following error message.
ERROR:  Name checking server EGRET error."
D:\Thesis\pd\CSPAll\CSP13Y_B_comb_dup.fits,CSP13Y,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP13Y_V_comb_dup.fits,CSP13Y,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP13Y_V_comb_swo.fits,CSP13Y,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP13Z_V_comb_swo.fits,CSP13Z,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14aaa_B_comb_dup.fits,CSP14aaa,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aaa_V_comb_dup.fits,CSP14aaa,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aab_B_comb_dup.fits,CSP14aab,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aab_V_comb_dup.fits,CSP14aab,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aal_B_comb_dup.fits,CSP14aal,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aal_V_comb_dup.fits,CSP14aal,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aaq_B_comb_dup.fits,CSP14aaq,B,duPont,0.03591,CSP14aaq,
D:\Thesis\pd\CSPAll\CSP14aaq_V_comb_dup.fits,CSP14aaq,V,duPont,0.03591,CSP14aaq,
D:\Thesis\pd\CSPAll\CSP14aar_B_comb_dup.fits,CSP14aar,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aar_V_comb_dup.fits,CSP14aar,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aar_V_comb_swo.fits,CSP14aar,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14aaw_B_comb_dup.fits,CSP14aaw,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aaw_V_comb_dup.fits,CSP14aaw,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aaw_V_comb_swo.fits,CSP14aaw,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14aax_B_comb_dup.fits,CSP14aax,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aax_V_comb_dup.fits,CSP14aax,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aay_B_comb_dup.fits,CSP14aay,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aay_V_comb_dup.fits,CSP14aay,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aba_B_comb_dup.fits,CSP14aba,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14aba_V_comb_dup.fits,CSP14aba,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abf_B_comb_dup.fits,CSP14abf,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abf_V_comb_dup.fits,CSP14abf,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abf_V_comb_swo.fits,CSP14abf,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14abh_V_comb_dup.fits,CSP14abh,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abh_V_comb_swo.fits,CSP14abh,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14abl_B_comb_dup.fits,CSP14abl,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abl_V_comb_dup.fits,CSP14abl,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14abl_V_comb_swo.fits,CSP14abl,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14abn_V_comb_swo.fits,CSP14abn,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14acl_V_comb_swo.fits,CSP14acl,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14acm_B_comb_dup.fits,CSP14acm,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14acm_V_comb_dup.fits,CSP14acm,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14acp_B_comb_dup.fits,CSP14acp,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14acp_V_comb_dup.fits,CSP14acp,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14acp_V_comb_swo.fits,CSP14acp,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP14acy_B_comb_dup.fits,CSP14acy,B,duPont,0.0664,CSP14acy,
D:\Thesis\pd\CSPAll\CSP14acy_V_comb_dup.fits,CSP14acy,V,duPont,0.0664,CSP14acy,
D:\Thesis\pd\CSPAll\CSP14adc_B_comb_dup.fits,CSP14adc,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14adc_V_comb_dup.fits,CSP14adc,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP14ade_B_comb_dup.fits,CSP14ade,B,duPont,0.06246,CSP14ade,
D:\Thesis\pd\CSPAll\CSP14ade_V_comb_dup.fits,CSP14ade,V,duPont,0.06246,CSP14ade,
D:\Thesis\pd\CSPAll\CSP14ade_V_comb_swo.fits,CSP14ade,V,Swope,0.06246,CSP14ade,
D:\Thesis\pd\CSPAll\CSP14adf_B_comb_dup.fits,CSP14adf,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP14adf_V_comb_dup.fits,CSP14adf,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP15aae_V_comb_swo.fits,CSP15aae,V,Swope,0.016,CSP15aae,
D:\Thesis\pd\CSPAll\CSP15aaj_B_comb_dup.fits,CSP15aaj,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP15aaj_V_comb_dup.fits,CSP15aaj,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP15aaj_V_comb_swo.fits,CSP15aaj,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP15aak_V_comb_swo.fits,CSP15aak,V,Swope,,,
D:\Thesis\pd\CSPAll\CSP15B_B_comb_dup.fits,CSP15B,B,duPont,,,
D:\Thesis\pd\CSPAll\CSP15B_V_comb_dup.fits,CSP15B,V,duPont,,,
D:\Thesis\pd\CSPAll\CSP15B_V_comb_swo.fits,CSP15B,V,Swope,,,
D:\Thesis\pd\CSPAll\KISS13j_V_comb_swo.fits,KISS13j,V,Swope,0.0766,KISS13j,
D:\Thesis\pd\CSPAll\KISS13l_B_comb_dup.fits,KISS13l,B,duPont,0.13201,KISS13l,
D:\Thesis\pd\CSPAll\KISS13l_V_comb_dup.fits,KISS13l,V,duPont,0.13201,KISS13l,
D:\Thesis\pd\CSPAll\KISS13l_V_comb_swo.fits,KISS13l,V,Swope,0.13201,KISS13l,
D:\Thesis\pd\CSPAll\KISS13v_B_comb_dup.fits,KISS13v,B,duPont,0.08,KISS13v,
D:\Thesis\pd\CSPAll\KISS13v_V_comb_dup.fits,KISS13v,V,duPont,0.08,KISS13v,
D:\Thesis\pd\CSPAll\KISS13v_V_comb_swo.fits,KISS13v,V,Swope,0.08,KISS13v,
D:\Thesis\pd\CSPAll\KISS15m_B_comb_dup.fits,KISS15m,B,duPont,0.0243,KISS15m,
D:\Thesis\pd\CSPAll\KISS15m_V_comb_dup.fits,KISS15m,V,duPont,0.0243,KISS15m,
D:\Thesis\pd\CSPAll\KISS15m_V_comb_swo.fits,KISS15m,V,Swope,0.0243,KISS15m,
D:\Thesis\pd\CSPAll\KISS15n_V_comb_swo.fits,KISS15n,V,Swope,0.023,KISS15n,
D:\Thesis\pd\CSPAll\LSQ11bk_B_comb_dup.fits,LSQ11bk,B,duPont,0.037,LSQ11bk,
D:\Thesis\pd\CSPAll\LSQ11bk_V_comb_dup.fits,LSQ11bk,V,duPont,0.037,LSQ11bk,
D:\Thesis\pd\CSPAll\LSQ11bk_V_comb_swo.fits,LSQ11bk,V,Swope,0.037,LSQ11bk,
D:\Thesis\pd\CSPAll\LSQ11ot_B_comb_dup.fits,LSQ11ot,B,duPont,0.027,LSQ11ot,
D:\Thesis\pd\CSPAll\LSQ11ot_V_comb_dup.fits,LSQ11ot,V,duPont,0.027,LSQ11ot,
D:\Thesis\pd\CSPAll\LSQ11pn_B_comb_dup.fits,LSQ11pn,B,duPont,0.033,LSQ11pn,
D:\Thesis\pd\CSPAll\LSQ11pn_V_comb_dup.fits,LSQ11pn,V,duPont,0.033,LSQ11pn,
D:\Thesis\pd\CSPAll\LSQ12agq_B_comb_dup.fits,LSQ12agq,B,duPont,0.064,LSQ12agq,
D:\Thesis\pd\CSPAll\LSQ12agq_V_comb_dup.fits,LSQ12agq,V,duPont,0.064,LSQ12agq,
D:\Thesis\pd\CSPAll\LSQ12agq_V_comb_swo.fits,LSQ12agq,V,Swope,0.064,LSQ12agq,
D:\Thesis\pd\CSPAll\LSQ12aor_B_comb_dup.fits,LSQ12aor,B,duPont,0.093,LSQ12aor,
D:\Thesis\pd\CSPAll\LSQ12aor_V_comb_dup.fits,LSQ12aor,V,duPont,0.093,LSQ12aor,
D:\Thesis\pd\CSPAll\LSQ12bld_B_comb_dup.fits,LSQ12bld,B,duPont,0.083,LSQ12bld,
D:\Thesis\pd\CSPAll\LSQ12bld_V_comb_dup.fits,LSQ12bld,V,duPont,0.083,LSQ12bld,
D:\Thesis\pd\CSPAll\LSQ12bld_V_comb_swo.fits,LSQ12bld,V,Swope,0.083,LSQ12bld,
D:\Thesis\pd\CSPAll\LSQ12blp_V_comb_swo.fits,LSQ12blp,V,Swope,0.074,LSQ12blp,
D:\Thesis\pd\CSPAll\LSQ12btn_B_comb_dup.fits,LSQ12btn,B,duPont,0.054,LSQ12btn,
D:\Thesis\pd\CSPAll\LSQ12btn_V_comb_dup.fits,LSQ12btn,V,duPont,0.054,LSQ12btn,
D:\Thesis\pd\CSPAll\LSQ12btn_V_comb_swo.fits,LSQ12btn,V,Swope,0.054,LSQ12btn,
D:\Thesis\pd\CSPAll\LSQ12ca_B_comb_dup.fits,LSQ12ca,B,duPont,0.098,LSQ12ca,
D:\Thesis\pd\CSPAll\LSQ12ca_V_comb_dup.fits,LSQ12ca,V,duPont,0.098,LSQ12ca,
D:\Thesis\pd\CSPAll\LSQ12ca_V_comb_swo.fits,LSQ12ca,V,Swope,0.098,LSQ12ca,
D:\Thesis\pd\CSPAll\LSQ12cda_B_comb_dup.fits,LSQ12cda,B,duPont,0.13749,LSQ12cda,
D:\Thesis\pd\CSPAll\LSQ12cda_V_comb_dup.fits,LSQ12cda,V,duPont,0.13749,LSQ12cda,
D:\Thesis\pd\CSPAll\LSQ12cda_V_comb_swo.fits,LSQ12cda,V,Swope,0.13749,LSQ12cda,
D:\Thesis\pd\CSPAll\LSQ12cdl_B_comb_dup.fits,LSQ12cdl,B,duPont,0.111,LSQ12cdl,
D:\Thesis\pd\CSPAll\LSQ12cdl_V_comb_dup.fits,LSQ12cdl,V,duPont,0.111,LSQ12cdl,
D:\Thesis\pd\CSPAll\LSQ12cdl_V_comb_swo.fits,LSQ12cdl,V,Swope,0.111,LSQ12cdl,
D:\Thesis\pd\CSPAll\LSQ12fuk_B_comb_dup.fits,LSQ12fuk,B,duPont,0.02,LSQ12fuk,
D:\Thesis\pd\CSPAll\LSQ12fuk_V_comb_dup.fits,LSQ12fuk,V,duPont,0.02,LSQ12fuk,
D:\Thesis\pd\CSPAll\LSQ12fvl_B_comb_dup.fits,LSQ12fvl,B,duPont,0.056,LSQ12fvl,
D:\Thesis\pd\CSPAll\LSQ12fvl_V_comb_dup.fits,LSQ12fvl,V,duPont,0.056,LSQ12fvl,
D:\Thesis\pd\CSPAll\LSQ12fxd_B_comb_dup.fits,LSQ12fxd,B,duPont,0.031,LSQ12fxd,
D:\Thesis\pd\CSPAll\LSQ12fxd_V_comb_dup.fits,LSQ12fxd,V,duPont,0.031,LSQ12fxd,
D:\Thesis\pd\CSPAll\LSQ12gdj_B_comb_dup.fits,LSQ12gdj,B,duPont,0.03,LSQ12gdj,
D:\Thesis\pd\CSPAll\LSQ12gdj_V_comb_dup.fits,LSQ12gdj,V,duPont,0.03,LSQ12gdj,
D:\Thesis\pd\CSPAll\LSQ12gef_B_comb_dup.fits,LSQ12gef,B,duPont,0.065,LSQ12gef,
D:\Thesis\pd\CSPAll\LSQ12gef_V_comb_dup.fits,LSQ12gef,V,duPont,0.065,LSQ12gef,
D:\Thesis\pd\CSPAll\LSQ12gln_B_comb_dup.fits,LSQ12gln,B,duPont,0.112,LSQ12gln,
D:\Thesis\pd\CSPAll\LSQ12gln_V_comb_dup.fits,LSQ12gln,V,duPont,0.112,LSQ12gln,
D:\Thesis\pd\CSPAll\LSQ12gpw_B_comb_dup.fits,LSQ12gpw,B,duPont,0.058,LSQ12gpw,
D:\Thesis\pd\CSPAll\LSQ12gpw_V_comb_dup.fits,LSQ12gpw,V,duPont,0.058,LSQ12gpw,
D:\Thesis\pd\CSPAll\LSQ12gxj_B_comb_dup.fits,LSQ12gxj,B,duPont,0.036,LSQ12gxj,
D:\Thesis\pd\CSPAll\LSQ12gxj_V_comb_dup.fits,LSQ12gxj,V,duPont,0.036,LSQ12gxj,
D:\Thesis\pd\CSPAll\LSQ12gyc_B_comb_dup.fits,LSQ12gyc,B,duPont,0.093,LSQ12gyc,
D:\Thesis\pd\CSPAll\LSQ12gyc_V_comb_dup.fits,LSQ12gyc,V,duPont,0.093,LSQ12gyc,
D:\Thesis\pd\CSPAll\LSQ12gyc_V_comb_swo.fits,LSQ12gyc,V,Swope,0.093,LSQ12gyc,
D:\Thesis\pd\CSPAll\LSQ12gzm_B_comb_dup.fits,LSQ12gzm,B,duPont,0.1,LSQ12gzm,
D:\Thesis\pd\CSPAll\LSQ12gzm_V_comb_dup.fits,LSQ12gzm,V,duPont,0.1,LSQ12gzm,
D:\Thesis\pd\CSPAll\LSQ12gzm_V_comb_swo.fits,LSQ12gzm,V,Swope,0.1,LSQ12gzm,
D:\Thesis\pd\CSPAll\LSQ12hjm_B_comb_dup.fits,LSQ12hjm,B,duPont,0.07,LSQ12hjm,
D:\Thesis\pd\CSPAll\LSQ12hjm_V_comb_dup.fits,LSQ12hjm,V,duPont,0.07,LSQ12hjm,
D:\Thesis\pd\CSPAll\LSQ12hno_B_comb_dup.fits,LSQ12hno,B,duPont,0.048,LSQ12hno,
D:\Thesis\pd\CSPAll\LSQ12hno_V_comb_dup.fits,LSQ12hno,V,duPont,0.048,LSQ12hno,
D:\Thesis\pd\CSPAll\LSQ12hnr_B_comb_dup.fits,LSQ12hnr,B,duPont,0.1243,LSQ12hnr,
D:\Thesis\pd\CSPAll\LSQ12hnr_V_comb_dup.fits,LSQ12hnr,V,duPont,0.1243,LSQ12hnr,
D:\Thesis\pd\CSPAll\LSQ12hnr_V_comb_swo.fits,LSQ12hnr,V,Swope,0.1243,LSQ12hnr,
D:\Thesis\pd\CSPAll\LSQ12hvj_B_comb_dup.fits,LSQ12hvj,B,duPont,0.071,LSQ12hvj,
D:\Thesis\pd\CSPAll\LSQ12hvj_V_comb_dup.fits,LSQ12hvj,V,duPont,0.071,LSQ12hvj,
D:\Thesis\pd\CSPAll\LSQ12hvj_V_comb_swo.fits,LSQ12hvj,V,Swope,0.071,LSQ12hvj,
D:\Thesis\pd\CSPAll\LSQ12hxx_B_comb_dup.fits,LSQ12hxx,B,duPont,0.069,LSQ12hxx,
D:\Thesis\pd\CSPAll\LSQ12hxx_V_comb_dup.fits,LSQ12hxx,V,duPont,0.069,LSQ12hxx,
D:\Thesis\pd\CSPAll\LSQ12hzj_B_comb_dup.fits,LSQ12hzj,B,duPont,0.029,LSQ12hzj,
D:\Thesis\pd\CSPAll\LSQ12hzj_V_comb_dup.fits,LSQ12hzj,V,duPont,0.029,LSQ12hzj,
D:\Thesis\pd\CSPAll\LSQ12hzj_V_comb_swo.fits,LSQ12hzj,V,Swope,0.029,LSQ12hzj,
D:\Thesis\pd\CSPAll\LSQ12hzs_B_comb_dup.fits,LSQ12hzs,B,duPont,0.072,LSQ12hzs,
D:\Thesis\pd\CSPAll\LSQ12hzs_V_comb_dup.fits,LSQ12hzs,V,duPont,0.072,LSQ12hzs,
D:\Thesis\pd\CSPAll\LSQ13abo_V_comb_swo.fits,LSQ13abo,V,Swope,0.067,LSQ13abo,
D:\Thesis\pd\CSPAll\LSQ13aiz_V_comb_swo.fits,LSQ13aiz,V,Swope,0.009,LSQ13aiz,
D:\Thesis\pd\CSPAll\LSQ13cwp_B_comb_dup.fits,LSQ13cwp,B,duPont,0.0665,LSQ13cwp,
D:\Thesis\pd\CSPAll\LSQ13cwp_V_comb_dup.fits,LSQ13cwp,V,duPont,0.0665,LSQ13cwp,
D:\Thesis\pd\CSPAll\LSQ13dby_B_comb_dup.fits,LSQ13dby,B,duPont,0.09993,LSQ13dby,
D:\Thesis\pd\CSPAll\LSQ13dby_V_comb_dup.fits,LSQ13dby,V,duPont,0.09993,LSQ13dby,
D:\Thesis\pd\CSPAll\LSQ13dcy_V_comb_swo.fits,LSQ13dcy,V,Swope,0.083,LSQ13dcy,
D:\Thesis\pd\CSPAll\LSQ13dhj_B_comb_dup.fits,LSQ13dhj,B,duPont,0.0935,LSQ13dhj,
D:\Thesis\pd\CSPAll\LSQ13dhj_V_comb_dup.fits,LSQ13dhj,V,duPont,0.0935,LSQ13dhj,
D:\Thesis\pd\CSPAll\LSQ13dhj_V_comb_swo.fits,LSQ13dhj,V,Swope,0.0935,LSQ13dhj,
D:\Thesis\pd\CSPAll\LSQ13dkp_B_comb_dup.fits,LSQ13dkp,B,duPont,0.06894,LSQ13dkp,
D:\Thesis\pd\CSPAll\LSQ13dkp_V_comb_dup.fits,LSQ13dkp,V,duPont,0.06894,LSQ13dkp,
D:\Thesis\pd\CSPAll\LSQ13dpm_B_comb_dup.fits,LSQ13dpm,B,duPont,0.05086,LSQ13dpm,
D:\Thesis\pd\CSPAll\LSQ13dpm_V_comb_dup.fits,LSQ13dpm,V,duPont,0.05086,LSQ13dpm,
D:\Thesis\pd\CSPAll\LSQ13dpm_V_comb_swo.fits,LSQ13dpm,V,Swope,0.05086,LSQ13dpm,
D:\Thesis\pd\CSPAll\LSQ13dqh_B_comb_dup.fits,LSQ13dqh,B,duPont,0.1038,LSQ13dqh,
D:\Thesis\pd\CSPAll\LSQ13dqh_V_comb_dup.fits,LSQ13dqh,V,duPont,0.1038,LSQ13dqh,
D:\Thesis\pd\CSPAll\LSQ13dsm_B_comb_dup.fits,LSQ13dsm,B,duPont,,,
D:\Thesis\pd\CSPAll\LSQ13dsm_V_comb_dup.fits,LSQ13dsm,V,duPont,,,
D:\Thesis\pd\CSPAll\LSQ13pf_V_comb_swo.fits,LSQ13pf,V,Swope,0.085,LSQ13pf,
D:\Thesis\pd\CSPAll\LSQ13ry_V_comb_swo.fits,LSQ13ry,V,Swope,0.03,LSQ13ry,
D:\Thesis\pd\CSPAll\LSQ13vy_V_comb_swo.fits,LSQ13vy,V,Swope,0.032,LSQ13vy,
D:\Thesis\pd\CSPAll\LSQ14act_B_comb_dup.fits,LSQ14act,B,duPont,0.0591,LSQ14act,
D:\Thesis\pd\CSPAll\LSQ14act_V_comb_dup.fits,LSQ14act,V,duPont,0.0591,LSQ14act,
D:\Thesis\pd\CSPAll\LSQ14age_B_comb_dup.fits,LSQ14age,B,duPont,0.08054,LSQ14age,
D:\Thesis\pd\CSPAll\LSQ14age_V_comb_dup.fits,LSQ14age,V,duPont,0.08054,LSQ14age,
D:\Thesis\pd\CSPAll\LSQ14ahc_B_comb_dup.fits,LSQ14ahc,B,duPont,0.05086,LSQ14ahc,
D:\Thesis\pd\CSPAll\LSQ14ahc_V_comb_dup.fits,LSQ14ahc,V,duPont,0.05086,LSQ14ahc,
D:\Thesis\pd\CSPAll\LSQ14ahm_B_comb_dup.fits,LSQ14ahm,B,duPont,0.04977,LSQ14ahm,
D:\Thesis\pd\CSPAll\LSQ14ahm_V_comb_dup.fits,LSQ14ahm,V,duPont,0.04977,LSQ14ahm,
D:\Thesis\pd\CSPAll\LSQ14ajn_B_comb_dup.fits,LSQ14ajn,B,duPont,0.02101,LSQ14ajn,
D:\Thesis\pd\CSPAll\LSQ14ajn_V_comb_dup.fits,LSQ14ajn,V,duPont,0.02101,LSQ14ajn,
D:\Thesis\pd\CSPAll\LSQ14ajn_V_comb_swo.fits,LSQ14ajn,V,Swope,0.02101,LSQ14ajn,
D:\Thesis\pd\CSPAll\LSQ14asu_B_comb_dup.fits,LSQ14asu,B,duPont,0.0684,LSQ14asu,
D:\Thesis\pd\CSPAll\LSQ14asu_V_comb_dup.fits,LSQ14asu,V,duPont,0.0684,LSQ14asu,
D:\Thesis\pd\CSPAll\LSQ14asu_V_comb_swo.fits,LSQ14asu,V,Swope,0.0684,LSQ14asu,
D:\Thesis\pd\CSPAll\LSQ14auy_B_comb_dup.fits,LSQ14auy,B,duPont,0.0825,LSQ14auy,
D:\Thesis\pd\CSPAll\LSQ14auy_V_comb_dup.fits,LSQ14auy,V,duPont,0.0825,LSQ14auy,
D:\Thesis\pd\CSPAll\LSQ14azy_B_comb_dup.fits,LSQ14azy,B,duPont,0.0458,LSQ14azy,
D:\Thesis\pd\CSPAll\LSQ14azy_V_comb_dup.fits,LSQ14azy,V,duPont,0.0458,LSQ14azy,
D:\Thesis\pd\CSPAll\LSQ14ba_B_comb_dup.fits,LSQ14ba,B,duPont,0.07755,LSQ14ba,
D:\Thesis\pd\CSPAll\LSQ14ba_V_comb_dup.fits,LSQ14ba,V,duPont,0.07755,LSQ14ba,
D:\Thesis\pd\CSPAll\LSQ14bbv_B_comb_dup.fits,LSQ14bbv,B,duPont,0.0588,LSQ14bbv,
D:\Thesis\pd\CSPAll\LSQ14bbv_V_comb_dup.fits,LSQ14bbv,V,duPont,0.0588,LSQ14bbv,
D:\Thesis\pd\CSPAll\LSQ14bjj_B_comb_dup.fits,LSQ14bjj,B,duPont,0.08114,LSQ14bjj,
D:\Thesis\pd\CSPAll\LSQ14bjj_V_comb_dup.fits,LSQ14bjj,V,duPont,0.08114,LSQ14bjj,
D:\Thesis\pd\CSPAll\LSQ14fms_B_comb_dup.fits,LSQ14fms,B,duPont,0.078,LSQ14fms,
D:\Thesis\pd\CSPAll\LSQ14fms_V_comb_dup.fits,LSQ14fms,V,duPont,0.078,LSQ14fms,
D:\Thesis\pd\CSPAll\LSQ14foj_B_comb_dup.fits,LSQ14foj,B,duPont,0.04607,LSQ14foj,
D:\Thesis\pd\CSPAll\LSQ14foj_V_comb_dup.fits,LSQ14foj,V,duPont,0.04607,LSQ14foj,
D:\Thesis\pd\CSPAll\LSQ14fom_V_comb_swo.fits,LSQ14fom,V,Swope,0.05626,LSQ14fom,
D:\Thesis\pd\CSPAll\LSQ14gfb_B_comb_dup.fits,LSQ14gfb,B,duPont,0.0527,LSQ14gfb,
