file,object,filter,telescope,redshift,ned_resolved_name,ned_error
D:\Thesis\pd\CSPAll\SN2011iy_B_comb_dup.fits,SN2011iy,B,duPont,0.0043,SN2011iy,
D:\Thesis\pd\CSPAll\SN2011iy_V_comb_dup.fits,SN2011iy,V,duPont,0.0043,SN2011iy,
D:\Thesis\pd\CSPAll\SN2011iy_V_comb_swo.fits,SN2011iy,V,Swope,0.0043,SN2011iy,
D:\Thesis\pd\CSPAll\SN2011jh_B_comb_dup.fits,SN2011jh,B,duPont,0.008,SN2011jh,
D:\Thesis\pd\CSPAll\SN2011jh_V_comb_dup.fits,SN2011jh,V,duPont,0.008,SN2011jh,
D:\Thesis\pd\CSPAll\SN2011jh_V_comb_swo.fits,SN2011jh,V,Swope,0.008,SN2011jh,
D:\Thesis\pd\CSPAll\SN2011jn_B_comb_dup.fits,SN2011jn,B,duPont,0.047,SN2011jn,
D:\Thesis\pd\CSPAll\SN2011jn_V_comb_dup.fits,SN2011jn,V,duPont,0.047,SN2011jn,
D:\Thesis\pd\CSPAll\SN2011jt_B_comb_dup.fits,SN2011jt,B,duPont,0.028,SN2011jt,
D:\Thesis\pd\CSPAll\SN2011jt_V_comb_dup.fits,SN2011jt,V,duPont,0.028,SN2011jt,
D:\Thesis\pd\CSPAll\SN2011jt_V_comb_swo.fits,SN2011jt,V,Swope,0.028,SN2011jt,
D:\Thesis\pd\CSPAll\SN2012aq_B_comb_dup.fits,SN2012aq,B,duPont,0.052,SN2012aq,
D:\Thesis\pd\CSPAll\SN2012aq_V_comb_dup.fits,SN2012aq,V,duPont,0.052,SN2012aq,
D:\Thesis\pd\CSPAll\SN2012ar_B_comb_dup.fits,SN2012ar,B,duPont,0.0283,SN2012ar,
D:\Thesis\pd\CSPAll\SN2012ar_V_comb_dup.fits,SN2012ar,V,duPont,0.0283,SN2012ar,
D:\Thesis\pd\CSPAll\SN2012ar_V_comb_swo.fits,SN2012ar,V,Swope,0.0283,SN2012ar,
D:\Thesis\pd\CSPAll\SN2012bl_B_comb_dup.fits,SN2012bl,B,duPont,0.0187,SN2012bl,
D:\Thesis\pd\CSPAll\SN2012bl_V_comb_dup.fits,SN2012bl,V,duPont,0.0187,SN2012bl,
D:\Thesis\pd\CSPAll\SN2012bl_V_comb_swo.fits,SN2012bl,V,Swope,0.0187,SN2012bl,
D:\Thesis\pd\CSPAll\SN2012bo_B_comb_dup.fits,SN2012bo,B,duPont,0.0254,SN2012bo,
D:\Thesis\pd\CSPAll\SN2012bo_V_comb_dup.fits,SN2012bo,V,duPont,0.0254,SN2012bo,
D:\Thesis\pd\CSPAll\SN2012bo_V_comb_swo.fits,SN2012bo,V,Swope,0.0254,SN2012bo,
D:\Thesis\pd\CSPAll\SN2012E_B_comb_dup.fits,SN2012E,B,duPont,0.02,SN2012E,
D:\Thesis\pd\CSPAll\SN2012E_V_comb_dup.fits,SN2012E,V,duPont,0.02,SN2012E,
D:\Thesis\pd\CSPAll\SN2012E_V_comb_swo.fits,SN2012E,V,Swope,0.02,SN2012E,
D:\Thesis\pd\CSPAll\SN2012fr_B_comb_dup.fits,SN2012fr,B,duPont,0.005457,SN2012fr,
D:\Thesis\pd\CSPAll\SN2012fr_V_comb_dup.fits,SN2012fr,V,duPont,0.005457,SN2012fr,
D:\Thesis\pd\CSPAll\SN2012fr_V_comb_swo.fits,SN2012fr,V,Swope,0.005457,SN2012fr,
D:\Thesis\pd\CSPAll\SN2012G_B_comb_dup.fits,SN2012G,B,duPont,0.0258,SN2012G,
D:\Thesis\pd\CSPAll\SN2012G_V_comb_dup.fits,SN2012G,V,duPont,0.0258,SN2012G,
