object,stage,reason
SN08hu,zero point,no du Pont zero point available for this object
SN08ia,zero point,no du Pont zero point available for this object
SN09F,zero point,no du Pont zero point available for this object
SN09I,zero point,no du Pont zero point available for this object
SN09P,zero point,no du Pont zero point available for this object
SN09Y,zero point,no du Pont zero point available for this object
SN09ab,zero point,no du Pont zero point available for this object
SN09ad,zero point,no du Pont zero point available for this object
SN09ag,zero point,no du Pont zero point available for this object
SN09cz,zero point,no du Pont zero point available for this object
SN09dc,zero point,no du Pont zero point available for this object
SN09ds,zero point,no du Pont zero point available for this object
SN09le,zero point,no du Pont zero point available for this object
