object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,flag_low_flux
SN2011iv,0.006,11988441.62492444,66335479.48845462,11.51735105983363,10.601402688615272,0.9159483712183558,0.0689577342091839,False
SN2012hl,0.0332,24229.968389954665,58431.85379891808,17.811122739984633,17.22189065177486,0.5892320882097728,0.1119630397508053,False
ASAS14me,0.018,110078.82555978483,213793.592978592,16.951373935419234,16.55309647326433,0.3982774621549048,0.0651357358775738,False
ASAS15dd,0.02437,305869.3884823459,944953.2650878588,15.953017648588144,15.043009962709773,0.9100076858783712,0.0846425615793009,False
KISS13v,0.08,856.6018843107332,1660.6246489456214,22.854190769611364,22.449068580550197,0.4051221890611707,0.0980964549443035,True
ASAS14hp,0.03892,6382.187528489336,16422.62760740661,20.0453974736405,19.27049982411561,0.7748976495248883,0.0888604609982633,False
ASAS14jz,0.012,185291.50980868613,369392.9297902481,16.554601657838667,15.885032066084449,0.6695695917542182,0.1559788878282803,False
LSQ11bk,0.037,3098.50190498868,5185.459479226881,21.6543417281458,21.36437996500532,0.2899617631404823,0.1085340778062295,False
ASAS14jg,0.014827,270532.5098688642,730821.7586609179,15.559390355040772,15.062504476051666,0.4968858789891062,0.1953565191118619,False
LSQ11pn,0.033,205361.05145276143,518490.2997152334,16.908446374067946,15.50147632815955,1.4069700459083965,0.0624872019108283,False
ASAS14hu,0.015,54014.59880227751,133858.6374436366,17.879064329526496,17.098858228005536,0.7802061015209603,0.0831311672576835,False
LSQ14jp,0.0454,20740.819987078365,63639.09630592886,18.79103876495593,17.888481098884377,0.9025576660715516,0.0918367263325936,False
CSP13aao,0.0614,32752.28410084739,102411.4877747689,17.575312388870397,16.682217319927666,0.8930950689427313,0.0577860287309006,False
LSQ13dqh,0.1038,647.0454218409022,2169.317061079824,22.33059625236578,21.27804473678958,1.052551515576198,0.069550088399659,True
SN2011jt,0.028,19062.0961716976,55035.97775709565,18.995913945386924,17.940574714479798,1.0553392309071263,0.0891251142963358,False
LSQ14wp,0.06945,3702.790790055809,8357.414123347484,21.40622477875519,20.625696966820108,0.7805278119350803,0.1348278064130849,False
LSQ15aja,0.07,702.1080748661428,1398.15924424613,23.21716314072706,22.519029666738103,0.6981334739889533,0.153652470492493,True
LSQ12hxx,0.069,21106.873939978217,55048.50277761071,18.4712938746099,17.867343883721997,0.6039499908879016,0.1919718552623364,False
ASAS14kq,0.0336,54355.41667747191,100895.51020687562,17.788827295802037,17.32004594012615,0.4687813556758868,0.1117295118018041,False
LSQ13dkp,0.06894,174.2304230647635,-908.7581630850708,,,,0.0727561202757869,True
CSP13aam,0.07495,363.9633451457692,4700.120229955237,22.316433413826037,20.03930787675816,2.2771255370678745,0.1985248815808093,True
LSQ11ot,0.027,73792.99987686938,189647.9201331644,18.149005096454538,17.320782719949843,0.8282223765046943,0.0601297272765645,False
LSQ13dhj,0.0935,2446.2637223842253,5497.901396311672,20.382605989245818,19.901595613875426,0.4810103753703956,0.1268845987198231,False
LSQ14ahm,0.04977,4684.723362001488,14339.144984174412,20.2485116018926,19.52481277482419,0.7236988270684108,0.0757068536262838,False
ASAS14my,0.020514,351786.3814415622,880844.7110168743,15.864754026894838,15.12150291953366,0.7432511073611767,0.3798523065770777,False
SN2012U,0.01972,586813.191555043,1687607.389149174,15.006628944893173,14.218778151179135,0.7878507937140355,0.104874576645525,False
ASAS15as,0.028,11712.835032555686,21464.562788383453,20.108413586696148,19.708183404262225,0.4002301824339263,0.2608335909845884,False
SN2013hn,0.0151,-22806.425644241943,-47614.48538127679,,,,0.0842766405214525,True
ASAS15hg,0.02977,105624.81028503852,305150.738020789,17.069094735972847,16.217790631597396,0.8513041043754512,0.1176054348480216,False
SN2012E,0.02,-3085.966091767521,-6775.833150422106,,,,0.1510199534265903,True
ASAS15aj,0.01092,3133996.635623089,8862698.458071083,12.828703143482125,11.828785352111469,0.999917791370656,0.4020914517977244,False
ASAS14lt,0.032046,260867.8676110481,756900.5063698398,16.09275760174854,15.216562371423937,0.8761952303246066,0.0822094312962453,False
LSQ14ie,0.08954,3685.321396557832,7727.882373254704,20.816134388216817,20.28639888725234,0.5297355009644775,0.0813602675305345,False
LSQ15alq,0.0471,21416.55311694609,47312.06215002099,18.95594516486025,18.329518193206656,0.62642697165359,0.1197701185311805,False
ASAS15hf,0.00618,1379697.2536916686,3542553.785283409,14.400477233316089,13.482651029654312,0.9178262036617753,0.1229688697456539,False
ASAS15ga,0.00663,6426941.740683433,18881413.43485981,12.649580671180114,11.744168223809613,0.9054124473705016,0.2154609096324477,False
PS15sv,0.0333,40891.677807814056,87523.35039493396,18.19489982982281,17.581524765680804,0.613375064142005,0.0921442517501324,False
LSQ12bld,0.083,3945.389775932721,5499.3878552478745,21.207938533777583,20.79212923008795,0.4158093036896311,0.2917109008463241,False
LSQ14azy,0.0458,78584.07934549295,149191.98609511438,17.34183328516626,16.707567222594655,0.634266062571605,0.0608026332686909,False
CSP12J,0.0147,534660.0629396202,1476059.495054976,15.0778891608829,14.13483101262274,0.9430581482601604,0.0863046972158051,False
ASAS15cb,0.04004,227081.91993224385,458630.7533598435,16.36052355911947,15.873752402306009,0.4867711568134645,0.1172603512284467,False
LSQ12hzj,0.029,75572.39616318578,196486.08730829624,17.329681021943276,16.49672725231123,0.832953769632045,0.0838294270384709,False
LSQ14bjj,0.08114,7897.169901738516,15560.635119711924,20.694365794932157,20.18414484702536,0.5102209479067952,0.0720020138223605,False
ASAS15go,0.01892,349476.63972173113,844005.060944254,15.88121976576476,15.090822082287794,0.7903976834769662,0.1256163150072386,False
LSQ14xi,0.0508,80370.6314382083,200533.3677163474,17.373534128305792,16.647451392433283,0.7260827358725095,0.0854591459773489,False
LSQ15agh,0.0603,63311.411323280576,168367.92598988785,17.610547271986952,16.807403535318198,0.8031437366687548,0.1790474925583886,False
ASAS15gr,0.024,67835.4616997908,124671.75971225036,17.53820541174708,17.00778181660454,0.5304235951425404,0.2145250960176616,False
CSP14acy,0.0664,5340.237288860225,18124.91152570071,20.28088042481641,19.886303238871825,0.3945771859445841,0.1611310598585732,False
CSP14aaq,0.03591,339172.4420216677,1066980.1993352484,15.77593180342758,14.737374448161315,1.0385573552662637,0.1289589069651676,False
LSQ12cda,0.13749,-125.13968129440764,535.6719328660367,,,,0.0884554438853919,True
SN2012id,0.0157,72948.76771322271,304179.9312724914,17.225486663273184,15.87229907601905,1.3531875872541337,0.1004411497604303,False
SN2012aq,0.052,1938.845054197968,4586.529117845512,21.68262465930735,20.98890377984982,0.6937208794575298,0.1146010104226864,False
ASAS14ad,0.0264,61182.72762487328,132389.9124902707,17.475256641146892,17.06510250950058,0.410154131646312,0.421827494071081,False
LSQ12hzs,0.072,10903.230690030015,21535.85106845522,19.37700668715663,18.684769288518115,0.6922373986385146,0.0967451865507646,False
LSQ14gfb,0.0527,58841.30084093556,186578.4273553446,17.737358926797704,16.746926801810588,0.990432124987116,0.085636526975824,False
LSQ15aae,0.0516,5614.9539338462055,15340.950919809402,20.35936350593743,19.492146002000517,0.8672175039369172,0.1009397329841494,False
