object,z,flux_B,flux_V,mag_B,mag_V,B_minus_V,B_minus_V_err,annulus_tag,epoch,zp_err_B,zp_err_V,n_ref_B,n_ref_V
LSQ11bk,0.037,2954.704244448112,4800.227959361424,21.705936106792755,21.448193421765414,0.2577426850273419,0.10853407780622958,ann20-30,CSP-II,0.0935077374202661,0.0550994472548615,8,10
LSQ11ot,0.027,76906.46544660715,197956.18433585437,18.10413588115261,17.274230245191873,0.8299056359607384,0.06012972727656459,ann20-30,CSP-II,0.0414869499632718,0.0435249018964893,17,17
LSQ11pn,0.033,222740.20834801195,553895.7216779119,16.820245018337424,15.429757890827345,1.3904871275100792,0.06248720191082832,ann20-30,CSP-II,0.0475259679944674,0.0405700969783594,15,16
LSQ12agq,0.064,17987.69726546159,41067.79426221217,19.37646586682237,18.638209680666485,0.738256186155887,0.13175509524971532,ann20-30,CSP-II,0.0659141934329687,0.1140820942494603,12,10
LSQ12aor,0.093,13496.157657881762,26515.476090529784,19.743074437186188,19.158492549737314,0.5845818874488735,0.12317761063519389,ann20-30,CSP-II,0.1036562470484591,0.0665440170836135,11,9
LSQ12bld,0.083,4943.098990926687,7233.341682351807,20.963165051396253,20.494567654670696,0.46859739672555634,0.2917109008463241,ann20-30,CSP-II,0.2592875431839407,0.1336608380274866,5,5
LSQ12btn,0.054,11870.156988834928,35348.37497387137,19.933625365500717,18.83817632956422,1.0954490359364968,0.07675184939887655,ann20-30,CSP-II,0.0632040560370448,0.0435441578930392,14,15
LSQ12ca,0.098,5383.44495846675,14720.49147159404,20.607461112963946,19.702189030778676,0.9052720821852702,0.1327782053656186,ann20-30,CSP-II,0.0928316037725184,0.0949333722203975,11,9
LSQ12cda,0.13749,365.19436560220805,1407.3287796150034,23.612078253438202,22.329397225423552,1.2826810280146503,0.08845544388539194,ann20-30,CSP-II,0.0743510147954963,0.047919642651439,8,10
LSQ12cdl,0.111,13345.566071259236,29796.5900286282,19.52880592494469,18.84216022414713,0.6866457007975626,0.16709422479600658,ann20-30,CSP-II,0.1102947092757325,0.1255211419082858,13,15
LSQ12fuk,0.02,102476.8862973781,329952.4632739475,17.575307935391184,16.522468526383676,1.0528394090075075,0.22280805144398358,ann20-30,CSP-II,0.0998489552292707,0.1991823634960885,5,2
LSQ12fvl,0.056,21910.550111476397,68845.634030565,19.080767645587663,17.94233550769926,1.1384321378884046,0.13947686523865443,ann20-30,CSP-II,0.0443332423997442,0.1322435614883662,9,9
LSQ12fxd,0.031,7634.687161746298,16349.05594589582,20.16328631578419,19.60003723316454,0.5632490826196523,0.1347704599611451,ann20-30,CSP-II,0.1246548799340234,0.0512273148503103,10,9
LSQ12gdj,0.03,11099.620619459498,23162.95745268924,19.709018119727325,19.204648622807632,0.5043694969196935,0.10121750573486492,ann20-30,CSP-II,0.0795547686307693,0.0625781292089511,11,12
LSQ12gln,0.112,341.69137132317286,1011.2350310517884,23.705505005750467,22.698616406490814,1.0068885992596535,0.13984349741968946,ann20-30,CSP-II,0.100514248451821,0.0972270005129043,14,12
LSQ12gpw,0.058,15659.50744609994,32398.077774215923,19.095082267770408,18.676612872591015,0.4184693951793932,0.17444736589082188,ann20-30,CSP-II,0.1651692388086368,0.0561338224034476,13,13
LSQ12gxj,0.036,6173.153523304159,13922.278918494583,20.28391356514738,19.91797442445496,0.3659391406924186,0.27295427878378764,ann20-30,CSP-II,0.2692311422667857,0.0449291702583018,10,14
LSQ12gyc,0.093,827.2312744149009,1581.0882916714604,22.462108307091043,21.848842973920235,0.6132653331708084,0.12080948749864016,ann20-30,CSP-II,0.040150976881276,0.1139422280156191,7,7
LSQ12hjm,0.07,15523.093567204767,34980.70039693627,19.51252046133857,18.896110551664716,0.6164099096738553,0.21345484651926092,ann20-30,CSP-II,0.1480347955747917,0.1537812433351053,3,2
LSQ12hno,0.048,19185.345487255807,40132.71788299046,19.037647555882142,18.694586962602855,0.3430605932792865,0.22651022164807208,ann20-30,CSP-II,0.207952534910655,0.0897921139927753,18,18
LSQ12hnr,0.1243,173.47733478620287,583.4099465917134,23.98851507969511,22.923863268129544,1.0646518115655645,0.07180208928910961,ann20-30,CSP-II,0.0561356763094516,0.0447696981401678,15,17
LSQ12hvj,0.071,16746.363395745768,38316.11888497254,19.14275269955334,18.429538935038288,0.7132137645150536,0.04788608237523484,ann20-30,CSP-II,0.0362263316850308,0.0313166054656936,19,20
LSQ12hxx,0.069,23120.51723280914,58916.33643185919,18.37235980164222,17.793618328601426,0.5787414730407932,0.1919718552623364,ann20-30,CSP-II,0.1707459451927082,0.0877440334901019,13,13
LSQ12hzj,0.029,75581.27077806745,196649.20514027367,17.329553529294422,16.49582627522073,0.8337272540736933,0.0838294270384709,ann20-30,CSP-II,0.0595829044555708,0.0589682146095389,18,19
LSQ12hzs,0.072,13035.337549440132,24702.55900706076,19.18308898535677,18.535819523056247,0.6472694623005211,0.09674518655076463,ann20-30,CSP-II,0.0714893258616936,0.0651836437197464,10,9
LSQ13cwp,0.0665,1416.8846904024383,7371.815466370369,21.025877021005844,19.599542556327957,1.4263344646778862,0.07786016243028111,ann20-30,CSP-II,0.052178891958573,0.0577889965966301,8,7
LSQ13dhj,0.0935,2234.8602398409867,5308.80899062791,20.480738253658068,19.939595230782334,0.5411430228757332,0.1268845987198231,ann20-30,CSP-II,0.1054546073134006,0.070562222106925,5,5
LSQ13dkp,0.06894,229.15910666240663,776.6455675675161,23.515444843903474,22.434074513416746,1.0813703304867275,0.07275612027578691,ann20-30,CSP-II,0.0545435830874116,0.0481502916042198,13,14
